ID,Level Description,Category,DisplayName,InternalName?,Summary,Full_Description,CTAButtonTitle,Action_Provider,CTAURL,DDMType,EvidenceBasisURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Applicable Wellness Levels (separated by comma),Applicable Pillar (pillar name separated by comma),Score,Maintenance Ref,Region,Postcode,Free_paid,retrocession,Frequency,Periodicity,Total Iterations,Topic,Ml-MOT Flag
1065,Preventative care,Mind,Have more sex,1065,Improve your sex life.,"Start working on improving your sex life to create a healthy habit, to receive all the physical, mental and emotional benefits that come with it.",Sign up,Medical News Today,https://www.medicalnewstoday.com/articles/how-often-do-couples-have-sex,Maintenance,,16-59,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Free,,weekly,6 months,24,,
1066,Basic Health,Mind,Get some sleep,1066,Learn about the importance of getting enough sleep.,"Just as eating nutritious food, drinking water, and exercising regularly is important, getting quality sleep is a crucial component for overall health.",Read,,https://www.halixia.com/ma/get-some-sleep-1066,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,1067,,,Free,,,,,"Mental Health,Sleep",Y
1067,Basic Health,Mind,Improve your sleep,1067,Work on making sure you get enough sleep.,Start working on getting into a good sleep routine to help improve your overall health and wellbeing.,Sign up,Morning Life,https://morninglife.co.uk/how-to-get-8-hours-of-sleep/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,daily,1 month,28,,
1068,Preventative care,Mind,Calm sleep music,1068,Learn about how listening to music can get you to sleep.,"Struggling to sleep? Maybe listening to music can help you drift off to sleep, learn about using music to help improve your sleep.",Visit site,,https://www.halixia.com/ma/calm-sleep-music-1068,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,2,1069,,,Free,,,,,,
1069,Preventative care,Mind,Music and sleep,1069,8 hours of sleep music for a better night's sleep.,"Listen to this playlist of calming relaxing music, to help you have a better night's sleep and create a better sleep habit.",Sign up,Yellow Brick Cinema,https://www.youtube.com/watch?v=6dZHGDzFXmY&list=PLQkQfzsIUwRYwVveZoqE-HUxv84Zknrsi,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Free,,daily,1 month,28,,
1070,Preventative care,Mind,Quality sleep,1070,Learn how to improve the quality of your sleep.,"Among the most common problems related to aging is sleep quality, with over half of adults reporting symptoms of insomnia. Learn how to improve your sleep quality for a better night’s sleep.",Read,,https://www.halixia.com/ma/quality-sleep-1070,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,1071,,,Free,,,,,Sleep,Y
1071,Preventative care,Mind,Boost sleep quality,1071,Start improving the quality of your sleep.,"Start working on improving your sleep quality, build a healthy habit of good night's restful sleep.",Sign up,SleepHubs,https://www.awin1.com/cread.php?awinmid=18997&awinaffid=1198638&ued=https%3A%2F%2Fsleephubs.com%2F,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Paid,,weekly,6 months,24,,
1072,Giving back,Expand,Fundraising,1072,Learn about fundraising.,Learn about fundraising for a charity that's close to your heart or neighbourhood and start making a difference.,Read,,https://www.halixia.com/ma/fundraising-1072,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Community,1,1073,,,Free,,,,,"Give Back,Fundraising",Y
1073,Giving back,Expand,Start fundraising,1073,Start fundraising for your chosen cause.,Start planning regular fundraisers and make a difference.,Sign up,easyfundraising,https://www.easyfundraising.org.uk/fundraising-ideas/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Community,1,,,,Free,,every 6 months,3 years,6,,
1074,Inner circle,Expand,Relationship tips,1074,Understand the importance of working on your relationship.,"Learn about the importance of working on, and improving your relationship with your partner, as well as tips to use to benefit all relationships.",Read,,https://www.halixia.com/ma/relationship-tips-1074,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Community,2,1075,,,Free,,,,,,
1075,Inner circle,Expand,Relationship tips,1075,Start working on improving your relationship.,Start implementing these relationship tips to help your relationship with your partner.,Sign up,Verywell Mind,https://www.verywellmind.com/7-surprising-ways-to-make-your-relationship-better-5094212,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Community,1,,,,Free,,weekly,6 months,24,,
1076,Inner circle,Contribute,Marriage guidance,1076,Learn about the benefits of marriage guidance.,Learn about improving your marriage (or significant relationship) to help you have a healthy supportive relationship.,Visit site,,https://www.halixia.com/ma/marriage-guidance-1076,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Community,2,1077,,,Paid,,,,,,
1077,Inner circle,Contribute,Marriage guidance,1077,Start marriage guidance.,Seek marriage or relationship guidance to help get your relationship back on track.,Sign up,Relate,https://www.relate.org.uk/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Community,1,,,,Paid,,weekly,6 months,24,,
2015,Preventative care,Body,Cervical screening,2015,Go for a regular cervical screening.,"The NHS contact you every three years for a cervical smear, make that appointment and get checked out.",Sign me up,NHS,https://www.nhs.uk/conditions/cervical-screening/how-to-book/,Maintenance,,0-99,Female,"Working, Not-Working, Retired",2,Health,1,,,,Free,,every 3 years,6 years,2,,
2016,Preventative care,Body,Lung care tips,2016,Learn the importance of taking care of your lungs.,"Learn to look after your lungs to help you breathe easier, reduce the risk of lung diseases, improve overall health, and enjoy a better quality of life.",Visit site,,https://www.halixia.com/ma/lung-care-tips-2016,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",2,Health,2,2017,,,Free,,,,,,
1080,Basic Health,Nutrition,Drinking water,1080,The importance of staying hydrated.,"Drinking water does more than just quench your thirst, it's essential to keep your body functioning properly and feeling healthy. Discover the many benefits of staying hydrated.",Read,,https://www.halixia.com/ma/drinking-water-1080,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,2,1081,,,Free,,,,,"Nutrition,Water",Y
1081,Basic Health,Nutrition,Drink more water,1081,Monitor and track your water intake.,Start tracking your water intake daily to help create a healthy hydrated habit.,Sign up,Plant Nanny,https://plantnanny.app/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,daily,2 months,56,,
1082,Basic Health,Exercise,Breathing exercises,1082,Read about the benefits of breathing exercises.,"Breathing is something you do tens of thousands of times each day, without even thinking about it. Learn about using breathing techniques to improve your respiratory health.",Read,,https://www.halixia.com/ma/breathing-exercises-1082,Development,,0-45,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,1083,,,Free,,,,,,
1083,Basic Health,Exercise,Just breathe,1083,Breathing exercises to improve respiratory health.,Try different breathing exercises regularly to improve your respiratory health.,Sign up,Healthline,https://www.healthline.com/health/how-to-increase-lung-capacity,Maintenance,,0-45,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,weekly,6 months,24,,
1084,Basic Health,Exercise,Breathing exercises,1084,Read about the benefits of breathing exercises.,"Breathing is something you do tens of thousands of times each day, without even thinking about it. Learn about using breathing techniques to improve your respiratory health.",Read,,https://www.halixia.com/ma/breathing-exercises-1084,Development,,46-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,1085,,,Free,,,,,,
1085,Basic Health,Exercise,Just breathe,1085,Breathing exercises to improve respiratory health.,Try different breathing exercises regularly to improve your respiratory health.,Sign up,Eldergym,https://eldergym.com/elderly-breathing/,Maintenance,,46-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,weekly,6 months,24,,
1086,Preventative care,Mind,Gas safety check,1086,Learn about the importance of carbon monoxide safety checks.,Learn about the importance of having gas safety checks and carbon monoxide detectors to keep you and your family safe.,Read,,https://www.halixia.com/ma/gas-safety-check-1086,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,3,,,,Free,,,,,,
1087,Diagnostic,Nutrition,Eating nuts,1087,Eating nuts can help you live longer.,"Eating more nuts can help you live longer and have lower rates of heart disease, diabetes, and some types of cancer. Eating a handful of nuts a day can go a long way in benefitting your health.",Read,,https://www.halixia.com/ma/eating-nuts-1087,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,2,1088,,,Free,,,,,,
1088,Diagnostic,Nutrition,Nut subscription,1088,Get a healthy nutty delivery box.,"With all the health benefits of eating nuts, add more nuts to your diet with nuts delivered straight to your door.",Sign up,Nuts Pick,https://www.awin1.com/cread.php?awinmid=15373&awinaffid=1198638&ued=https%3A%2F%2Fwww.nutspick.co.uk%2F,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Paid,,weekly,6 months,24,,
1089,Diagnostic,Mind,Try hypnotherapy,1089,Try hypnotherapy.,Try hypnotherapy to help you to relieve stress.,Visit site,,https://www.halixia.com/ma/try-hypnotherapy-1089,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,3,1090,,,Paid,,,,,"Mental Health,Hypnotherapy",Y
1090,Diagnostic,Mind,Find a hypnotherapist,1090,Find a hypnotherapist in your area.,"Find a hypnotherapist for in person sessions, to help you gain all the benefits that hypnotherapy has to offer.",Visit site,Hypnotherapist,https://www.hypnotherapists.org.uk/therapist-finder/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Paid,,weekly,6 months,24,,
1091,Optimal health,Mind,Mental health issues,1091,Take a course to deepen your understanding of mental health issues,Learn about the importance of understanding mental health and wellbeing through courses to deepen understanding and empathy.,Read,,https://www.halixia.com/ma/mental-health-issues-1091,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Health,3,1092,,,Free,,,,,,
1092,Optimal health,Mind,Mental health course,1092,Take a mental health course.,Sign up to take a mental health course and build a healthy understanding of improving mental health.,Sign up,Mental Health Courses,https://mentalhealthcourses.org.uk/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Health,1,,,,Free,,weekly,6 months,24,,
1093,Financial security,Manage,Trace lost money,1093,Learn to see how you can track down any forgotten inactive accounts.,"Learn about inactive accounts, and how to see if you might have some extra money stashed away somewhere.",Read,,https://www.halixia.com/ma/trace-lost-money-1093,Development,,0-59,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Wealth,2,,,,Free,,,,,,
1094,Financial security,Manage,Trace old pensions,1094,Learn how to track down all your different pension schemes.,"Learn about how to track down all your different old or lost pension schemes that both you or an employer paid into, making sure you're claiming everything you're entitled to in retirement.",Read,,https://www.halixia.com/ma/trace-old-pensions-1094,Development,,0-59,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Wealth,3,,,,Free,,,,,,
1095,Optimal health,Exercise,Run a marathon,1095,Find out how to train to run a marathon.,"Running marathons improves physical fitness, mental strength, and discipline. It's a great way to challenge yourself and achieve personal fitness goals.",Read,,https://www.halixia.com/ma/run-a-marathon-1095,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Health,3,1096,,,Free,,,,,"Physical Fitness,Running",Y
1096,Optimal health,Exercise,Train for a marathon,1096,Start training to run a marathon.,"Start training to run a marathon, such as the London Marathon, and set yourself a great fitness challenge.",Sign up,TCS London marathon,https://www.tcslondonmarathon.com/training/training-plans,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Health,1,,,,Free,,3 times a week,4 months,48,,
2017,Preventative care,Body,Love your lungs,2017,Look after your lungs with these tips.,Start regularly looking after your lungs and create a healthy habit that will benefit your health.,Sign me up,The American Lung Association,https://www.lung.org/lung-health-diseases/wellness/breathing-exercises,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",2,Health,1,,,,Free,,weekly,6 months,24,,
2056,Preventative care,Body,Get menopause aware,2056,Learn all about what to expect with menopause.,"Empower yourself by learning more about menopause, what to expect and strategies for managing symptoms.",,,https://www.halixia.com/ma/get-menopause-aware-2056,Development,,0-55,Female,"Working, Not-Working, Retired",2,Health,1,2057,,,Free,,,,,,
1099,Outer circle,Belong,Need extra support?,1099,Learn about men's mental health support groups.,"Seeking mental health support can save lives, improve mental health, and promote positive coping strategies. It can also reduce the risk of suicide.",Visit site,,https://www.halixia.com/ma/need-extra-support-1099,Development,,0-99,Male,"Working, Not-Working, Retired",3,Community,1,1100,,,Free,,,,,,
1100,Outer circle,Belong,Get extra support,1100,Get mental health support.,Find a 'men's group' near you and make a healthy habit of working on your mental health.,Sign up,MensGroup,https://mensgroup.com/mens-support-groups/#How_to_find_a_men8217s_support_group,Maintenance,,0-99,Male,"Working, Not-Working, Retired",3,Community,1,,,,Free,,weekly,6 months,24,,
1101,Abundance,Manage,Need an advisor?,1101,Find out how to get the right financial advisor.,"Getting the right financial advisor can provide benefits such as professional financial guidance, personalised investment strategies, risk management, and potentially higher investment returns.",Read,,https://www.halixia.com/ma/need-an-advisor-1101,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Wealth,2,1102,,,Free,,,,,,
1102,Abundance,Manage,Find an advisor,1102,Get a financial advisor.,Get some peace of mind and help to achieve your financial goals by getting a financial advisor and regularly work with them to improve your future wealth.,Sign up,AdviseMe,https://www.adviseme.co.uk/?dyn=true&keyword=uk%20financial%20adviser&matchtype=e&network=o&campaign=Finance%20%7C%20Exact&device=c&location=132721&adid=80264480205661&campaignid=367425406&adgroupid=1284229896539942&utm_source=Bing%20Paid&msclkid=797046b2318216aff44622d333fdeff4&utm_medium=cpc&utm_campaign=Finance%20%7C%20Exact&utm_term=uk%20financial%20adviser&utm_content=Financial%20-%20Adviser%20-%20UK%20-%20Exact,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Wealth,1,,,,Free,,every 6 months,3 years,6,,
1107,Giving back,Belong,Get into politics,1107,Learn about how you could become a local councillor.,Find out how to become a local councillor in your area and if a passion for local politics is something for you.,Read,,https://www.halixia.com/ma/get-into-politics-1107,Development,,18-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Community,3,1108,,,Free,,,,,"Give Back,Politics",Y
1108,Giving back,Belong,Serve your community,1108,Join your local government and become a local councillor.,Get into politics and become a local councillor and regularly give back to your local community.,Sign up,UK Government,https://www.gov.uk/government/get-involved/take-part/become-a-councillor,Maintenance,,18-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Community,1,,,,Free,,monthly,2 years,24,,
1109,Inner circle,Expand,Communicate better,1109,Learn about increasing communication with your partner.,Increasing communication with your partner can help you learn to communicate and express yourself better.,Visit site,,https://www.halixia.com/ma/communicate-better-1109,Development,,16-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Community,2,1110,,,Free,,,,,,
1110,Inner circle,Expand,Communicate better,1110,Work on improving communication.,Regularly spend time working on your communication skills and help build a healthy relationship,Sign up,Gottman,https://www.gottman.com/couples/apps/,Maintenance,,16-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Community,1,,,,Free,,weekly,6 Months,24,,
1111,Outer circle,Contribute,Cook for others,1111,Learn about making meals for those in your community.,"Whether someone is sick, grieving or new to the area, try going to your charity shop and picking up a cheap casserole dish to make a meal for someone in your community.",Visit site,,https://www.halixia.com/ma/cook-for-others-1111,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Community,2,1112,,,Free,,,,,"Give Back,Cooking,Good neighbour",Y
1112,Outer circle,Contribute,Cook for others,1112,Make a meal for someone in your community.,Start regularly making meals for those in your community and get in the habit of helping others.,Sign up,BBC,https://www.bbc.co.uk/food/casserole,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Community,1,,,,Free,,every 2 weeks,1 year,24,,
1113,Giving back,Expand,Is fostering for you,1113,Learn about becoming a foster parent.,"Find out how becoming a foster parent can provide a loving home to a child in need, positively impact their life, and potentially create a lifelong relationship.",Visit site,,https://www.halixia.com/ma/is-fostering-for-you-1113,Development,,21-80,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Community,3,1114,,,Free,,,,,,
1114,Giving back,Expand,Foster a child,1114,Start the process to becoming a foster parent.,See if you are eligible to foster a child and help others while creating new bonds.,Sign up,Financial Conduct Authority,https://www.thefca.co.uk/about-fostering/how-to-become-a-foster-parent/,Maintenance,,21-80,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Community,1,,,,Free,,weekly,6 months,24,,
1115,Inner circle,Contribute,Build intimacy,1115,Learn about building intimacy.,"Building intimacy in your relationship can help build a stronger emotional connection, improved communication, increased trust, and more fulfilling sexual experiences.",Visit site,,https://www.halixia.com/ma/build-intimacy-1115,Development,,16-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Community,2,1116,,,Free,,,,,,
1116,Inner circle,Contribute,Build intimacy,1116,Start building intimacy.,Get into the intimacy habit with your partner for a more fulfilling relationship.,Sign up,New Love Times,http://www.newlovetimes.com/10-fun-relationship-games-for-couples-to-increase-intimacy/,Maintenance,,16-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Community,1,,,,Free,,weekly,6 Months,24,,
1117,Inner circle,Contribute,Hosting a family BBQ,1117,Spending time with loved ones by hosting a BBQ.,Hosting a BBQ is a great way to spend quality time with family and friends to improve your relationships.,Visit site,,https://www.halixia.com/ma/hosting-a-family-bbq-1117,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Community,2,1118,,,Free,,,,,"F&F,Outdoors",Y
1118,Inner circle,Contribute,Host a family BBQ,1118,Get out the BBQ out for your family and friends.,Host a BBQ and spend quality time with your friends and family.,Sign up,BBC,https://www.bbcgoodfood.com/howto/guide/top-5-family-barbecue-recipes,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Community,1,,,,Free,,monthly,1 year,12,,
1119,Social/community engagement,Contribute,Helping hedgehogs,1119,Could you help local wildlife by fostering a hedgehog.,Read about what it takes to foster a hedgehog and find your local hedgehog rescue to take part in helping wildlife in your area.,Visit site,,https://www.halixia.com/ma/helping-hedgehogs-1119,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,2,1120,,,Free,,,,,"Outdoors,Wildlife",Y
1120,Social/community engagement,Contribute,Foster a hedgehog,1120,Look after a sick or injured hedgehog.,See if you are eligible to foster a hedgehog and start helping the wildlife in your community.,Sign up,Barnacle Hedgehog Rescue,https://www.barnaclehedgehogs.co.uk/fostering.html,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,1,,,,Free,,weekly,6 Months,24,,
1121,Up- and Re-skilling,Foundation,Skills in demand,1121,Find out what skills are in demand from employers.,Learn about what skills are demand by today's employers to help you learn the right new skills to increase employability and improve job security.,Visit site,,https://www.halixia.com/ma/skills-in-demand-1121,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Learning,1,1122,,,Free,,,,,"Current Job,New Job,Upskilling",Y
1122,Up- and Re-skilling,Foundation,Build your skills,1122,Build skills that are in demand.,Take a course in skills that are in demand and create a healthy habit of lifelong learning whilst creating a marketable skill.,Sign up,Coursera,https://www.coursera.org/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Learning,1,,,,Paid,,weekly,6 months,24,,
1123,Advanced Learning,Upskill,Is coding for you?,1123,Learn about how to code and programme.,"If you have always been fascinated by and wanted to learn how to code or get into programming, take some courses to learn anything from how to build a website to very specific programming languages.",Visit site,,https://www.halixia.com/ma/is-coding-for-you-1123,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Learning,3,1124,,,Free,,,,,"New Job,Upskilling,Self-Employment,Coding",Y
1124,Advanced Learning,Upskill,Learn to code,1124,Learn to code and programme.,"Start learning to code, to create a healthy habit of lifelong learning whilst also gaining a marketable skill.",Sign up,Codecademy,https://www.codecademy.com/catalog,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Learning,1,,,,Free,,weekly,6 months,24,,
1125,Teaching,Upskill,Life coaching,1125,Learn about being a life coach.,"Learn about being a life coach, to help others achieve their goals, promote personal growth and development, and potentially lead to a rewarding and fulfilling career.",Visit site,,https://www.halixia.com/ma/life-coaching-1125,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Learning,3,1126,,,Free,,,,,,
1126,Teaching,Upskill,Life coach,1126,Become a life coach.,Become a life coach and create a healthy habit of helping others fulfil their potential.,Sign up,UK CPD,https://ukcpd.co.uk/how-to-become-a-life-coach-uk/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",5,Learning,1,,,,Free,,weekly,6 months,24,,
1127,Educational foundation,Share,Learn to explain,1127,Learn about the importance of explaining things better.,"Learn about how to explain things better to help you enhance communication skills, improve relationships, increase clarity and understanding.",Read,,https://www.halixia.com/ma/learn-to-explain-1127,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Learning,2,1128,,,Free,,,,,"Current Job,Upskilling,Communication",Y
1128,Educational foundation,Share,Explain yourself,1128,Learn how to explain things better.,Work on building your communication skills on how to explain things and get ideas across to help you create a healthy communication habit.,Sign up,LifeHack,https://www.lifehack.org/710722/how-to-explain-things-better,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Learning,1,,,,Free,,weekly,6 months,24,,
1129,Advanced Learning,Share,Purpose led career,1129,Learn about sharing your skills.,A great way to give back is to use your skills to helps other through a job in the non-profit or charity sector. Search for roles within purpose led organisations and unlock your purpose.,Read,,https://www.halixia.com/ma/purpose-led-career-1129,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Learning,2,1130,,,Free,,,,,"New Job,Upskilling",Y
1130,Advanced Learning,Share,Job with purpose,1130,Share your skills with a job in the charity sector.,Get a job in a purpose led organisation and share your skills to give back to others.,Sign up,CharityJob,https://www.charityjob.co.uk/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Learning,1,,,,Free,,weekly,6 Months,24,,
2143,Preventative care,Body,Risk of disease,2143,Learn about age related disease risk.,"Take charge of your health by understanding disease risks linked to ageing. Implement preventive measures, like a balanced diet and regular exercise, to reduce risks effectively.",Read,,https://www.halixia.com/ma/risk-of-disease-2143,Development,,40-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",2,Health,1,2144,,,Free,,,,,Disease Mgt,Y
2144,Preventative care,Body,Reduce your risk,2144,Start working on reducing your risk.,Continually prioritise health by understanding disease risks and create healthy habits of proactive steps to reduce them.,Sign me up,Verywell Health,https://www.verywellhealth.com/easy-steps-for-disease-prevention-2224303,Maintenance,,40-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",2,Health,1,,,,Free,,daily,3 months,90,,
4066,Preventative Care,Body,Vaccinations,4066,Vaccination awareness.,"Learn about vaccinations and why they are important to protect against preventable diseases. Thereby, ensuring that you safeguard your health and that of your loved ones by staying up to date on vital immunisations.",Read,,https://www.halixia.com/ma/vaccinations-4066,Development,,0-99,"Male,Female,Non-conforming","Working,Not-Working,Retired",2,Health,1,,,,Free,,,,,"Disease Mgt,Vaccinations",Y
128,Diagnostic,Body,Diabetes awareness,128,All you need to know about diabetes.,Diabetes can be a lifelong condition that causes your blood sugar levels to become too high. There are two types of diabetes and you can reduce the risk of type 2 diabetes with simple lifestyle changes.,Read,,https://www.halixia.com/ma/diabetes-awareness-128,Development,,40-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,129,,,Free,,,,,"Disease Mgt,Diabetes",Y
1135,Advanced brain & body fitness,Nutrition,Tailored vitamins,1135,Learn about taking personalised vitamins for a better life.,Uniquely formulated vitamin supplements carefully selected for you can help to ensure you get the vitamins and minerals you need to get the best out of every day.,Visit site,,https://www.halixia.com/ma/tailored-vitamins-1135,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,2,1136,,,Paid,,,,,,
129,Diagnostic,Body,Diabetes prevention,129,Make small changes to reduce risk of diabetes.,Type 2 diabetes is a serious health condition but there are lots of things you can do to reduce your risk or even stop you getting it. Build these habits into your routine over the course of the next month to reduce the risk.,Sign me up,Diabetes UK,https://www.diabetes.org.uk/preventing-type-2-diabetes,Maintenance,,50-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Free,,daily,2 months,56,,
1137,Basic Health,Nutrition,Get a good breakfast,1137,Learn about the benefits of getting a good breakfast.,"Learn about the importance of starting your day with breakfast, such as helping to keep the brain and body fuelled, balances blood sugar, reduces obesity, and affects medication metabolism.",Read,,https://www.halixia.com/ma/get-a-good-breakfast-1137,Development,,40-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Health,1,1138,,,Free,,,,,Nutrition,Y
1138,Basic Health,Nutrition,Have breakfast,1138,Breakfast ideas for a tasty nutritional breakfast.,"Start your day with a healthy, tasty and nutritious breakfast to help give you an energy boost in the morning, boosting your happiness and help set you up for the day.",Sign up,Lottie,https://lottie.org/carecollective/healthy-breakfast-ideas-for-the-elderly/,Maintenance,,60-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Health,1,,,,Free,,daily,2 months,56,,
1139,Basic Health,Nutrition,Get a good breakfast,1139,Learn about the benefits of getting a good breakfast.,"Learn about the importance of starting your day with breakfast, such as helping to keep the brain and body fuelled, balances blood sugar, reduces obesity, and affects medication metabolism.",Read,,https://www.halixia.com/ma/get-a-good-breakfast-1139,Development,,0-59,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Health,1,1140,,,Free,,,,,Nutrition,Y
1140,Basic Health,Nutrition,Have breakfast,1140,Breakfast ideas for a tasty nutritional breakfast.,"Start your day with a healthy, tasty and nutritious breakfast to help give you an energy boost in the morning, boosting your happiness and help set you up for the day.",Sign up,BBC Good Food,https://www.bbcgoodfood.com/recipes/collection/healthy-breakfast-recipes,Maintenance,,0-59,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Health,1,,,,Free,,daily,2 months,56,,
1141,Advanced brain & body fitness,Nutrition,Fermented foods,1141,"Fermented foods can foster a healthy brain, body and mind.","Try fermented foods as part of your daily diet and they could help weight loss, reduce inflammation, and even improve your mental health.",Read,,https://www.halixia.com/ma/fermented-foods-1141,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,2,1142,,,Free,,,,,,
1142,Advanced brain & body fitness,Nutrition,Try fermented foods,1142,Start introducing fermented foods to your diet.,Start eating fermented foods and create a healthy dietary habit.,Sign up,mindbodygreen,https://www.mindbodygreen.com/articles/how-to-ferment-food-at-home,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,1,,,,Free,,weekly,6 months,24,,
1143,Diagnostic,Nutrition,Weight loss challenge,1143,Kickstart to achieving a healthier weight and better diet.,An overall weight loss plan can help to you transform your life in a healthy manageable way.,Visit site,,https://www.halixia.com/ma/weight-loss-challenge-1143,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Health,2,1144,,,Free,,,,,Weight Mgt,Y
1144,Diagnostic,Nutrition,Weight loss challenge,1144,60-day challenge to transform your life.,Sign up to a 60-day challenge to help you transform your health and create a healthy habit.,Sign up,BetterMe,https://betterme.world/articles/60-day-weight-loss-challenge/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Health,1,,,,Free,,daily,2 Months,60,,
